
 num     #instances         #bytes  class name
 288:           407          13024  org.apache.lucene.analysis.core.StopFilterFactory
 289:           232          12992  sun.nio.ch.FileChannelImpl
 290:           127          12488  [Ljava.util.Formatter$FormatString;
 291:           515          12360  java.lang.StringBuffer
 292:           771          12336  org.apache.solr.common.util.NamedList
 293:           255          12248  [Lorg.apache.lucene.index.Terms;
 294:           137          12056  org.apache.catalina.connector.InputBuffer
 295:           137          12056  org.apache.coyote.RequestInfo
 296:           137          12056  org.apache.coyote.Response
 297:           251          12048  java.net.SocketInputStream
 298:           374          11968  org.apache.lucene.analysis.standard.StandardTokenizerFactory
 299:           373          11936  java.util.concurrent.ConcurrentSkipListMap$HeadIndex
 300:           211          11816  org.apache.solr.util.stats.Meter
 301:           211          11816  org.apache.solr.util.stats.ExponentiallyDecayingSample
 302:           486          11664  sun.reflect.NativeConstructorAccessorImpl
 303:           225          11664  [Lorg.apache.lucene.index.MultiTermsEnum$TermsEnumWithSlice;
 304:           180          11520  sun.reflect.DelegatingClassLoader
 305:           360          11520  org.apache.lucene.search.FieldValueHitQueue$Entry
 306:           360          11520  org.apache.lucene.search.FieldDoc
 307:           358          11456  java.util.LinkedHashMap$EntryIterator
 308:            11          11440  [Lorg.apache.solr.update.VersionBucket;
 309:           177          11328  java.net.URL
 310:           354          11328  java.io.IOException
 311:           154          11160  [Ljavax.management.MBeanAttributeInfo;
 312:           151          10872  java.util.logging.LogRecord
 313:           678          10848  java.util.concurrent.locks.ReentrantLock
 314:           449          10776  [Lorg.apache.lucene.util.packed.PackedInts$Format;
 315:           383          10624  [Ljava.io.Closeable;
 316:           221          10608  org.apache.lucene.index.SegmentReader
 317:           649          10560  [Lorg.apache.lucene.analysis.util.CharFilterFactory;
 318:           438          10512  org.apache.juli.ClassLoaderLogManager$LogNode
 319:           186          10416  org.apache.lucene.index.TermsHash
 320:           118          10384  org.apache.naming.resources.FileDirContext$FileResourceAttributes
 321:           431          10344  org.apache.solr.common.SolrInputField$1
 322:           431          10344  org.apache.solr.common.SolrInputField
 323:           184          10304  org.apache.naming.resources.CacheEntry
 324:            91          10216  [Lorg.tartarus.snowball.Among;
 325:           211          10128  java.util.concurrent.ConcurrentSkipListMap
 326:           210          10080  java.util.StringTokenizer
 327:           247           9880  java.security.ProtectionDomain
 328:           137           9864  org.apache.catalina.connector.OutputBuffer
 329:           245           9800  org.apache.lucene.util.ByteBlockPool
 330:           244           9760  org.apache.solr.parser.FastCharStream
 331:           121           9680  org.apache.solr.update.TransactionLog
 332:           151           9664  java.util.regex.Matcher
 333:           240           9600  org.apache.tomcat.util.modeler.OperationInfo
 334:            54           9544  [Ljava.lang.reflect.Method;
 335:           396           9504  org.apache.lucene.analysis.core.LowerCaseFilterFactory
 336:           169           9464  java.security.Provider$Service
